zip,owner_utility,cca,notes,source
90046,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90046,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90047,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90047,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90047,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90048,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90048,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90048,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90049,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90049,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90049,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90051,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90054,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90056,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90056,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90056,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90057,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90057,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90058,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90058,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90058,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90059,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90059,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90059,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90060,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90061,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90061,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90061,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90062,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90062,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90063,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90063,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90063,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90064,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90064,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90065,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90065,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90066,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90066,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90066,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90067,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90067,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90068,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90068,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90069,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90069,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90069,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90071,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90073,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90073,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
