zip,owner_utility,cca,notes,source
93514,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93515,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93515,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93516,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93516,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93517,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93517,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93518,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93518,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93519,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93519,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93522,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93523,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93523,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93524,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93526,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93526,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93527,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93527,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93528,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93528,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93529,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93529,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93530,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93530,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93531,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93531,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93532,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93532,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93534,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93534,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93535,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93535,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93536,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93536,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93539,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93539,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93541,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93541,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93542,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93542,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93543,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93543,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93544,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93544,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93545,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93545,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93546,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93546,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93549,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93549,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93550,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93550,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93551,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93551,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93552,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93552,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93553,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93553,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93554,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93554,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93555,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93555,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93556,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93558,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93558,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93560,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93560,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93561,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93561,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93561,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93562,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93562,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93563,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93563,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93564,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93581,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93581,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93584,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93586,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93586,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93590,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93591,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93591,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93592,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93592,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93596,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93596,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93599,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93599,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93601,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93601,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93602,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93602,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93602,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93603,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93603,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93604,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93604,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93605,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93605,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93605,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93606,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93606,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93607,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93607,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93608,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93608,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93609,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93609,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93610,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93610,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93611,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93611,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93612,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93612,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93613,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93613,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93614,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93614,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93615,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93615,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93615,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93616,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93616,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93618,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93618,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93618,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93619,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93619,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93620,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93620,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93621,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93621,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93622,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93622,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93623,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93623,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93624,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93624,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93625,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93625,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93626,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93626,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93627,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93627,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93628,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93628,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93629,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93630,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93630,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93631,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93631,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93633,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93634,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93634,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93634,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93635,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93635,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93636,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93636,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93637,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93637,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93638,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93638,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93639,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93639,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93640,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93640,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93641,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93641,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93642,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93643,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93643,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93643,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93644,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93644,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93645,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93645,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93646,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93646,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93647,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93647,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93648,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93648,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93649,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93649,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93650,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93650,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93651,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93651,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93652,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93652,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93653,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93653,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93654,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93654,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93656,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93656,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93657,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93657,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93660,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93660,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93661,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93662,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93662,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93664,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93664,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93664,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93665,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93665,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93666,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93666,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93667,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93667,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93668,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93668,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93669,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93669,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93670,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93670,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93670,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93673,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93673,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93675,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93675,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93701,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93701,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93702,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93702,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93703,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93703,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93704,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93704,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93705,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93705,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93706,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93706,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93707,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93707,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93708,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93709,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93709,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93710,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93710,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93711,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93711,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93712,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93712,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93714,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93714,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93715,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93716,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93717,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93718,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93718,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93720,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93720,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93721,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93721,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93722,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93722,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93723,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93723,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93724,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93724,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93725,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93725,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93726,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93726,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93727,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93727,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93728,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93728,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93729,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93729,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93730,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93730,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93737,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93737,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93740,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93740,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93741,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93741,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93744,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93744,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93745,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93745,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93747,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93750,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93755,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93759,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93760,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93760,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93761,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93762,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93764,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93764,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93765,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93765,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93771,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93771,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93772,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93772,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93773,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93774,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93775,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93776,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93776,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93777,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93778,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93778,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93779,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93780,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93782,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93784,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93786,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93790,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93790,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93791,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93792,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93792,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93793,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93794,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93844,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93888,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93901,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93901,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93902,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93902,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93905,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93905,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93906,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93906,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93907,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
93907,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
